ITPASS: InstantTrack AOS/LOS Finder Version 0.88
Copyright 1989-2004 Paul Williamson, KB5MU

Passes starting:     8 May 25 01:33:47 PDT
     At station:    Bombay

    Satellite         AOS Time (PDT)      LOS Time (PDT)    Max El
CO-66               12 May 25 16:37:14  12 May 25 16:48:43    45ø
CO-66               13 May 25 03:06:08  13 May 25 03:15:55    14ø
CO-66               13 May 25 04:39:28  13 May 25 04:50:01    20ø
CO-66               13 May 25 14:51:29  13 May 25 14:54:04     0ø

HO-68                8 May 25 02:23:36   8 May 25 02:43:09    82ø
HO-68                8 May 25 04:15:26   8 May 25 04:27:16     7ø
HO-68                8 May 25 14:04:19   8 May 25 14:23:10    40ø
HO-68                8 May 25 15:52:20   8 May 25 16:09:52    26ø
HO-68                9 May 25 00:24:01   9 May 25 00:35:30     6ø
HO-68                9 May 25 02:06:38   9 May 25 02:26:08    73ø
HO-68                9 May 25 03:56:57   9 May 25 04:11:33    12ø
HO-68                9 May 25 13:47:42   9 May 25 14:05:42    28ø
HO-68                9 May 25 15:35:00   9 May 25 15:53:28    36ø
HO-68               10 May 25 00:09:30  10 May 25 00:16:50     2ø
HO-68               10 May 25 01:49:52  10 May 25 02:09:02    53ø
HO-68               10 May 25 03:38:55  10 May 25 03:55:24    18ø
HO-68               10 May 25 13:31:15  10 May 25 13:48:01    19ø
HO-68               10 May 25 15:17:46  10 May 25 15:36:54    50ø
HO-68               10 May 25 17:10:20  10 May 25 17:16:54     2ø
HO-68               11 May 25 01:33:16  11 May 25 01:51:49    38ø
HO-68               11 May 25 03:21:12  11 May 25 03:39:00    27ø
HO-68               11 May 25 13:15:03  11 May 25 13:30:03    13ø
HO-68               11 May 25 15:00:39  11 May 25 15:20:09    70ø
HO-68               11 May 25 16:51:28  11 May 25 17:02:29     6ø
HO-68               12 May 25 01:16:50  12 May 25 01:34:30    27ø
HO-68               12 May 25 03:03:42  12 May 25 03:22:24    38ø
HO-68               12 May 25 12:59:15  12 May 25 13:11:40     7ø

AO-73                8 May 25 01:55:44   8 May 25 02:06:23    16ø
AO-73                8 May 25 03:30:06   8 May 25 03:41:25    21ø
