ITPASS: InstantTrack AOS/LOS Finder Version 0.88
Copyright 1989-2004 Paul Williamson, KB5MU

Passes starting:     6 Jun 25 17:53:18 PDT
     At station:    Bombay

    Satellite         AOS Time (PDT)      LOS Time (PDT)    Max El
CO-65                7 Jun 25 02:36:19   7 Jun 25 02:46:57    16ø
CO-65                7 Jun 25 04:10:38   7 Jun 25 04:21:42    20ø
CO-65                7 Jun 25 14:26:19   7 Jun 25 14:32:41     3ø
CO-65                7 Jun 25 15:58:16   7 Jun 25 16:10:21    61ø
CO-65                8 Jun 25 02:32:32   8 Jun 25 02:42:53    14ø
CO-65                8 Jun 25 04:06:34   8 Jun 25 04:17:51    23ø
CO-65                8 Jun 25 14:22:48   8 Jun 25 14:28:12     2ø
CO-65                8 Jun 25 15:54:17   8 Jun 25 16:06:24    71ø
CO-65                9 Jun 25 02:28:44   9 Jun 25 02:38:46    13ø
CO-65                9 Jun 25 04:02:28   9 Jun 25 04:13:57    26ø
CO-65                9 Jun 25 14:19:26   9 Jun 25 14:23:32     1ø
CO-65                9 Jun 25 15:50:17   9 Jun 25 16:02:25    82ø
CO-65                9 Jun 25 17:28:55   9 Jun 25 17:31:57     1ø
CO-65               10 Jun 25 02:24:57  10 Jun 25 02:34:37    11ø
CO-65               10 Jun 25 03:58:22  10 Jun 25 04:10:02    29ø
CO-65               10 Jun 25 14:16:28  10 Jun 25 14:18:22     0ø
CO-65               10 Jun 25 15:46:16  10 Jun 25 15:58:25    84ø
CO-65               10 Jun 25 17:24:12  10 Jun 25 17:28:43     2ø
CO-65               11 Jun 25 02:21:09  11 Jun 25 02:30:24    10ø
CO-65               11 Jun 25 03:54:16  11 Jun 25 04:06:04    34ø
CO-65               11 Jun 25 15:42:14  11 Jun 25 15:54:22    73ø
CO-65               11 Jun 25 17:19:40  11 Jun 25 17:25:15     3ø
CO-65               12 Jun 25 02:17:22  12 Jun 25 02:26:09     8ø

CO-66                7 Jun 25 02:31:12   7 Jun 25 02:32:36     0ø
CO-66                7 Jun 25 03:59:15   7 Jun 25 04:10:55    82ø
CO-66                7 Jun 25 05:37:38   7 Jun 25 05:40:34     1ø
CO-66                7 Jun 25 15:41:32   7 Jun 25 15:52:03    19ø
CO-66                7 Jun 25 17:15:34   7 Jun 25 17:25:21    14ø
CO-66                8 Jun 25 03:42:21   8 Jun 25 03:53:45    42ø
CO-66                8 Jun 25 05:18:17   8 Jun 25 05:25:38     5ø
CO-66                8 Jun 25 15:25:03   8 Jun 25 15:34:15    10ø
CO-66                8 Jun 25 16:58:03   8 Jun 25 17:08:52    25ø
CO-66                9 Jun 25 03:25:37   9 Jun 25 03:36:24    23ø
CO-66                9 Jun 25 05:00:05   9 Jun 25 05:09:29    12ø
CO-66                9 Jun 25 15:09:00   9 Jun 25 15:15:56     5ø
CO-66                9 Jun 25 16:40:38   9 Jun 25 16:52:05    46ø
CO-66               10 Jun 25 03:09:08  10 Jun 25 03:18:48    13ø
CO-66               10 Jun 25 04:42:18  10 Jun 25 04:52:55    21ø
CO-66               10 Jun 25 16:23:25  10 Jun 25 16:35:03    87ø
CO-66               10 Jun 25 18:01:00  10 Jun 25 18:03:58     1ø
CO-66               11 Jun 25 02:52:58  11 Jun 25 03:00:52     7ø
CO-66               11 Jun 25 04:24:41  11 Jun 25 04:36:04    38ø
CO-66               11 Jun 25 16:06:19  11 Jun 25 16:17:46    45ø
CO-66               11 Jun 25 17:41:54  11 Jun 25 17:49:02     5ø
CO-66               12 Jun 25 02:37:31  12 Jun 25 02:42:14     2ø
CO-66               12 Jun 25 04:07:20  12 Jun 25 04:18:59    75ø

HO-68                7 Jun 25 01:05:58   7 Jun 25 01:22:53    22ø
HO-68                7 Jun 25 02:52:10   7 Jun 25 03:11:13    47ø
HO-68                7 Jun 25 12:49:01   7 Jun 25 12:59:08     4ø
HO-68                7 Jun 25 14:32:19   7 Jun 25 14:51:56    71ø
HO-68                7 Jun 25 16:21:33   7 Jun 25 16:36:40    14ø
HO-68                8 Jun 25 00:49:55   8 Jun 25 01:05:20    15ø
HO-68                8 Jun 25 02:34:58   8 Jun 25 02:54:24    65ø
HO-68                8 Jun 25 04:28:25   8 Jun 25 04:37:07     3ø
HO-68                8 Jun 25 12:36:27   8 Jun 25 12:37:33     0ø
HO-68                8 Jun 25 14:15:27   8 Jun 25 14:34:46    51ø
HO-68                8 Jun 25 16:03:58   8 Jun 25 16:20:41    20ø
HO-68                9 Jun 25 00:34:11   9 Jun 25 00:47:34    10ø
HO-68                9 Jun 25 02:17:55   9 Jun 25 02:37:28    89ø
HO-68                9 Jun 25 04:09:18   9 Jun 25 04:22:00     8ø
HO-68                9 Jun 25 13:58:44   9 Jun 25 14:17:26    36ø
HO-68                9 Jun 25 15:46:32   9 Jun 25 16:04:27    29ø
HO-68               10 Jun 25 00:19:01  10 Jun 25 00:29:26     5ø
